candidate_id,rank,score,reasoning
CAND_0000031,1,59.553353,"6.0 years as Recommendation Systems Engineer with strongest evidence in Production ML, Retrieval & Matching; profile also lists Go, MLflow, FAISS. Good Redrob fit because technical evidence, availability signals, and practical outreach fit are aligned."
CAND_0000001,2,48.789590,"6.9 years as Backend Engineer with strongest evidence in Production ML, Python Systems; profile also lists Tailwind, NLP, Image Classification. Good Redrob fit because technical evidence, availability signals, and practical outreach fit are aligned."
CAND_0000027,3,40.906190,"3.9 years as DevOps Engineer with strongest evidence in Production ML, Python Systems; profile also lists Docker, YOLO, PEFT. Good Redrob fit because technical evidence, availability signals, and practical outreach fit are aligned."
CAND_0000015,4,37.276327,"5.4 years as Software Engineer with strongest evidence in Python Systems, Production ML; profile also lists PyTorch, Content Writing, Weights & Biases. Good Redrob fit because technical evidence, availability signals, and practical outreach fit are aligned."
CAND_0000038,5,35.496862,"6.7 years as Java Developer with strongest evidence in Product Shipping, Python Systems; profile also lists Kubeflow, Django, Redux. Good Redrob fit because technical evidence, availability signals, and practical outreach fit are aligned."
CAND_0000035,6,33.419926,"4.3 years as Full Stack Developer with strongest evidence in Production ML, Python Systems; profile also lists Snowflake, BigQuery, Recommendation Systems. Ranked here after balancing fit score 33.4, hireability signal 51, and concern: not currently marked open to work."
CAND_0000045,7,29.525024,"12.2 years as Project Manager with strongest evidence in Product Shipping, Production ML; profile also lists GCP, Sales, Redux. Good Redrob fit because technical evidence, availability signals, and practical outreach fit are aligned."
CAND_0000010,8,28.550885,"4.6 years as Data Engineer with strongest evidence in Product Shipping, Python Systems; profile also lists GCP, Spring Boot, Kubeflow. Ranked here after balancing fit score 28.6, hireability signal 57, and concern: not currently marked open to work."
CAND_0000032,9,28.480042,"8.1 years as .NET Developer with strongest evidence in Production ML, Python Systems; profile also lists Speech Recognition, Project Management, REST APIs. Ranked here after balancing fit score 28.5, hireability signal 48, and concern: not currently marked open to work."
CAND_0000026,10,26.689164,"6.8 years as Graphic Designer with strongest evidence in Product Shipping, Production ML; profile also lists Apache Beam, Kubeflow, Scrum. Ranked here after balancing fit score 26.7, hireability signal 63, and concern: not currently marked open to work."
CAND_0000021,11,26.385266,"14.5 years as Project Manager with strongest evidence in Product Shipping, Production ML; profile also lists Hadoop, PostgreSQL, Kafka. Ranked here after balancing fit score 26.4, hireability signal 54, and concern: activity dates need verification before outreach."
CAND_0000048,12,26.233140,"9.7 years as Mobile Developer with strongest evidence in Production ML, Product Shipping; profile also lists Hadoop, Terraform, Vue.js. Ranked here after balancing fit score 26.2, hireability signal 58, and concern: notice period is 120 days."
CAND_0000044,13,26.212070,"5.7 years as Frontend Engineer with strongest evidence in Python Systems, Production ML; profile also lists Hadoop, JavaScript, Databricks. Ranked here after balancing fit score 26.2, hireability signal 45, and concern: not currently marked open to work."
CAND_0000043,14,25.763133,"8.3 years as Cloud Engineer with strongest evidence in Product Shipping, Production ML; profile also lists Elasticsearch, OpenSearch, Airflow. Ranked here after balancing fit score 25.8, hireability signal 42, and concern: not currently marked open to work."
CAND_0000014,15,24.351886,"8.4 years as Frontend Engineer with strongest evidence in Vector Search Infra, Product Shipping; profile also lists FAISS, BigQuery, React. Ranked here after balancing fit score 24.4, hireability signal 62, and concern: not currently marked open to work."
CAND_0000025,16,22.945208,"7.3 years as Frontend Engineer with strongest evidence in Production ML, Product Shipping; profile also lists JavaScript, Spark, GCP. Ranked here after balancing fit score 22.9, hireability signal 70, and concern: notice period is 120 days."
CAND_0000050,17,22.496084,"13.5 years as Business Analyst with strongest evidence in Product Shipping, Production ML; profile also lists gRPC, SEO, Feature Engineering. Ranked here after balancing fit score 22.5, hireability signal 49, and concern: not currently marked open to work."
CAND_0000042,18,20.190079,"5.0 years as HR Manager with strongest evidence in Product Shipping; profile also lists Project Management, gRPC, Marketing. Ranked here after balancing fit score 20.2, hireability signal 59, and concern: not currently marked open to work."
CAND_0000011,19,20.053307,"2.0 years as QA Engineer with strongest evidence in Product Shipping, Production ML; profile also lists Recommendation Systems, Scrum, FastAPI. Ranked here after balancing fit score 20.1, hireability signal 55, and concern: not currently marked open to work."
